Maisse,2.393370,48.393690
Malakoff Plateau de Vanves,2.298330,48.823050
Malakoff Rue Etienne Dolet,2.296750,48.815220
Malesherbes,2.310940,48.882480
Malesherbes (Loiret),2.405833,48.296111
Maraichers,2.406290,48.852800
Marcadet Poissonniers,2.349390,48.891430
Marcel Sembat,2.243580,48.833690
Marche St Denis,2.355670,48.938780
Marne la Vallee Chessy,2.782200,48.868190
Marrolles en Hurepoix,2.289680,48.574760
Marx Dormoy,2.359800,48.890220
Massy Palaiseau,2.258420,48.724690
Massy Verrieres,2.273260,48.734700
Maubert Mutualite,2.347960,48.850260
Maurice Lachatre,2.414050,48.919350
Melilmontant,2.383630,48.866300
Melun,2.655020,48.527360
Mennecy,2.433230,48.571100
Meudon sur Seine,2.238730,48.819240
Meudon Val Fleury,2.241160,48.807950
Michel Ange Auteuil,2.264240,48.847970
Michel Ange Molitor,2.261700,48.845180
Michel Bizot,2.402170,48.837210
Mirabeau,2.272560,48.847150
Miromesnil,2.314100,48.873790
Mitry Claye,2.642170,48.975740
Monceau,2.309040,48.880410
Montgallet,2.389880,48.844430
Montgeron Crosne,2.462490,48.708180
Montigny Beauchamp,2.198010,49.007310
Montparnasse Bienvenue,2.323050,48.843470
Montsouris,2.334490,48.821330
Moulin Galant,2.473390,48.586950
Mouton Duvernet,2.330570,48.832150
Musee de Sevres,2.225300,48.828740
Musee d'Orsay,2.325670,48.860790
Nanterre Prefecture,2.222460,48.894770
Nanterre Univerisite,2.215200,48.901520
Nanterre Ville,2.195940,48.895200
Nation,2.395810,48.848770
Nationale,2.362610,48.833210
Neuilly Plaisance,2.513900,48.853270
Neuilly Porte Maillot,2.284300,48.877840
Neuville Universite,2.078430,49.014320
Nogent Le Perreux,2.494370,48.838610
Nogent sur Marne,2.471920,48.835320
Noisiel,2.616620,48.843500
Noisy Champs,2.578030,48.842650
Noisy le Grand Mont d'Est,2.548180,48.840770
Noisy le Sec,2.459920,48.896680
Notre Dame de Lorette,2.339620,48.876730
Notre Dame des Champs,2.328600,48.845210
Oberkampf,2.370580,48.863520
Odeon,2.338820,48.852400
Olympiades,2.367430,48.827200
Opera,2.332340,48.870660
Orangis Bois de l'Epine,2.407570,48.636310
Orly Ville,2.402960,48.741840
Orry la Ville,2.459390,49.187150
Orsay la Ville,2.182210,48.697720
Ourcq,2.385740,48.886890
Ozoir la Ferriere,2.690360,48.770720
Palais Royal Musee du Louvre,2.336030,48.862930
Palaiseau,2.246650,48.717830
Palaiseau Villebon,2.237200,48.707690
Pantin,2.399760,48.898100
Parc de Sceaux,2.310220,48.770620
Parc des Expositions,2.514590,48.973760
Parc de St Cloud,2.221810,48.842940
Passy,2.285790,48.857530
Pasteur,2.312670,48.843010
Pelleport,2.401750,48.868690
Pereire,2.297320,48.884940
Pere Lachaise,2.387400,48.862960
Permety,2.318050,48.833950
Pereire Levallois,2.297730,48.885770
Petit Jouy Les Loges,2.146780,48.771100
Petit Noisy,2.465320,48.900390
Petit Vaux,2.333410,48.676250
Philippe Auguste,2.389720,48.858450
Picpus,2.402200,48.845010
Pierre Curie,2.377390,48.815890
Pierrefitte Stains,2.372360,48.963880
Pierrelaye,2.154210,49.019280
Pigalle,2.337570,48.882290
Place de Clichy,2.327360,48.883570
Place des Fetes,2.392680,48.876830
Place d'Italie,2.355680,48.831500
Place Monge,2.352410,48.843520
Plaisance,2.314020,48.831740
Pointe du Lac,2.464811,48.768786
Poissonniere,2.349380,48.877410
Poissy,2.040320,48.933070
Pont de Bondy,2.470090,48.905180
Pont de Garigliano,2.270820,48.838400
Pont de l'Alma,2.300990,48.862520
Pont de Levallois Becon,2.281040,48.897130
Pont de Neuilly,2.258470,48.885410
Pont de Rungis Aeroport d'Orly,2.372810,48.748150
Pont de Sevres,2.230950,48.829840
Pont Marie,2.357220,48.853650
Pont Neuf,2.342060,48.858500
Pontoise,2.095990,49.046720
Porchefontaine,2.153900,48.796640
Porte Dauphine,2.275220,48.871660
porte d'Auteuil,2.257710,48.848280
Porte de Bagnolet,2.408820,48.864520
Porte de Champerret,2.292480,48.885790
Porte de Charenton,2.400400,48.832810
Porte de Choisy,2.364540,48.820010
Porte de Clichy,2.312270,48.892530
Porte de Clignancourt,2.344950,48.897350
Porte de la Chapelle,2.359300,48.897380
Porte de la Vilette,2.385860,48.897100
Porte de Montreuil,2.410500,48.853560
Porte de Pantin,2.396260,48.889740
Porte des Lilas,2.406410,48.877250
Porte de St Cloud,2.256950,48.838100
Porte de St Ouen,2.328910,48.897510
Porte de Vanves,2.305360,48.827730
Porte de Versailles,2.287750,48.832320
Porte de Vincennes,2.410990,48.847060
Porte d'Italie,2.359470,48.819110
Porte d'Ivry,2.369180,48.821570
Porte Doree,2.405930,48.835380
Porte d'Orleans,2.325580,48.823160
Porte Maillot,2.281910,48.877960
Port Royal,2.336930,48.839880
Poterne des Peupliers,2.349260,48.820760
